scenario,fiscal_year,metric,value,unit
CAPEX Spillover (impairment triggered),2028,total_committed_expenditure,2282952268.2468004,USD
CAPEX Spillover (impairment triggered),2028,surplus_or_deficit,-154661860.45252538,USD
CAPEX Spillover (impairment triggered),2028,unassigned_gf_balance_eoy,-104106110.1342256,USD
CAPEX Spillover (impairment triggered),2028,unassigned_gf_balance_policy_floor_7_5pct,159621780.58457062,USD
CAPEX Spillover (impairment triggered),2028,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover (impairment triggered),2028,debt_service_total,161363914.0,USD
CAPEX Spillover (impairment triggered),2028,debt_service_to_revenue_ratio,0.07581856000903321,fraction
CAPEX Spillover (impairment triggered),2028,debt_service_headroom_vs_10pct_cap,51465126.77942753,USD
CAPEX Spillover (impairment triggered),2028,debt_service_cap_breached,0.0,boolean
CAPEX Spillover (impairment triggered),2029,total_revenue,2109313638.4870746,USD
CAPEX Spillover (impairment triggered),2029,split_base_eligible_for_schools_transfer,1690393632.0,USD
CAPEX Spillover (impairment triggered),2029,schools_transfer,967412275.5936,USD
CAPEX Spillover (impairment triggered),2029,total_committed_expenditure,2348370971.6136003,USD
CAPEX Spillover (impairment triggered),2029,surplus_or_deficit,-239057333.12652564,USD
CAPEX Spillover (impairment triggered),2029,unassigned_gf_balance_eoy,-343163443.26075125,USD
CAPEX Spillover (impairment triggered),2029,unassigned_gf_balance_policy_floor_7_5pct,158198522.88653058,USD
CAPEX Spillover (impairment triggered),2029,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover (impairment triggered),2029,debt_service_total,171711276.0,USD
CAPEX Spillover (impairment triggered),2029,debt_service_to_revenue_ratio,0.08140623227713141,fraction
CAPEX Spillover (impairment triggered),2029,debt_service_headroom_vs_10pct_cap,39220087.84870747,USD
CAPEX Spillover (impairment triggered),2029,debt_service_cap_breached,0.0,boolean
CAPEX Spillover (impairment triggered),2030,total_revenue,2088689643.8766222,USD
CAPEX Spillover (impairment triggered),2030,split_base_eligible_for_schools_transfer,1663577074.0,USD
CAPEX Spillover (impairment triggered),2030,schools_transfer,952065159.4502001,USD
CAPEX Spillover (impairment triggered),2030,total_committed_expenditure,2396753039.1202,USD
CAPEX Spillover (impairment triggered),2030,surplus_or_deficit,-308063395.24357796,USD
CAPEX Spillover (impairment triggered),2030,unassigned_gf_balance_eoy,-651226838.5043292,USD
CAPEX Spillover (impairment triggered),2030,unassigned_gf_balance_policy_floor_7_5pct,156651723.29074666,USD
CAPEX Spillover (impairment triggered),2030,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover (impairment triggered),2030,debt_service_total,176021071.0,USD
CAPEX Spillover (impairment triggered),2030,debt_service_to_revenue_ratio,0.08427344460486896,fraction
CAPEX Spillover (impairment triggered),2030,debt_service_headroom_vs_10pct_cap,32847893.387662232,USD
CAPEX Spillover (impairment triggered),2030,debt_service_cap_breached,0.0,boolean
CAPEX Spillover (impairment triggered),2031,total_revenue,2074017537.5511274,USD
CAPEX Spillover (impairment triggered),2031,split_base_eligible_for_schools_transfer,1642560113.4888983,USD
CAPEX Spillover (impairment triggered),2031,schools_transfer,940037152.9496965,USD
CAPEX Spillover (impairment triggered),2031,total_committed_expenditure,2443176659.7496963,USD
CAPEX Spillover (impairment triggered),2031,surplus_or_deficit,-369159122.1985688,USD
CAPEX Spillover (impairment triggered),2031,unassigned_gf_balance_eoy,-1020385960.702898,USD
CAPEX Spillover (impairment triggered),2031,unassigned_gf_balance_policy_floor_7_5pct,155551315.31633455,USD
CAPEX Spillover (impairment triggered),2031,unassigned_gf_balance_floor_breached,1.0,boolean
CAPEX Spillover (impairment triggered),2031,debt_service_total,175419137.0,USD
CAPEX Spillover (impairment triggered),2031,debt_service_to_revenue_ratio,0.08457938943328519,fraction
CAPEX Spillover (impairment triggered),2031,debt_service_headroom_vs_10pct_cap,31982616.755112767,USD
CAPEX Spillover (impairment triggered),2031,debt_service_cap_breached,0.0,boolean
